Test Size,Method,Best Params,Start Time,End Time,Duration (s),MAE,MSE,RMSE,R2
0.2,No Cross Validation (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-02 21:50:26,2024-06-02 21:52:14,107.92478489875793,1.7292723832245667,6.241339355525835,2.4982672706349565,0.6549500732777154
0.2,Sklearn cross_val_score (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-02 21:50:26,2024-06-02 21:52:14,107.92478489875793,2.526089172867919,11.668270609131284,3.3897773788324486,0.30979250470081154
0.2,xgb.cv (Grid Search),"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.9}",2024-06-02 21:50:26,2024-06-02 21:52:14,107.92478489875793,1.7114771151553536,6.024727384527571,2.454532009269297,0.6552136344611706
0.25,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-02 21:52:25,2024-06-02 21:53:53,88.10925507545471,1.768956172893498,6.443857117152304,2.5384753528746944,0.6318339657765959
0.25,Sklearn cross_val_score (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-02 21:52:25,2024-06-02 21:53:53,88.10925507545471,2.4701575881982087,11.36534493575271,3.3398479245812993,0.33287023962129025
0.25,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.9}",2024-06-02 21:52:25,2024-06-02 21:53:53,88.10925507545471,1.7305577477383256,6.1310421597739815,2.476094133867689,0.6491293948564999
0.3,No Cross Validation (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-02 21:54:00,2024-06-02 21:55:17,76.44054126739502,1.651054812603487,6.1218401188760625,2.4742352594036126,0.6339133938720554
0.3,Sklearn cross_val_score (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-02 21:54:00,2024-06-02 21:55:17,76.44054126739502,2.542311125749849,11.813453337194801,3.411801674877272,0.30228258883747516
0.3,xgb.cv (Grid Search),"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",2024-06-02 21:54:00,2024-06-02 21:55:17,76.44054126739502,1.7268480143850102,6.166141291066602,2.4831716193341533,0.647120722739147
0.35,No Cross Validation (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",2024-06-02 21:55:26,2024-06-02 21:56:04,38.44322085380554,1.7641395578157746,6.611430389704434,2.571270189945902,0.5916390046762593
0.35,Sklearn cross_val_score (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",2024-06-02 21:55:26,2024-06-02 21:56:04,38.44322085380554,2.547537337660601,12.010072530368566,3.432224565081401,0.29635410441234245
0.35,xgb.cv (Grid Search),"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",2024-06-02 21:55:26,2024-06-02 21:56:04,38.44322085380554,1.7584332873920772,6.308204369471638,2.5116138973718947,0.6389906598575763
